iter	Passed	Remaining
0	2	2159
1	3	1564
2	3	1304
3	4	1166
4	5	1079
5	6	1014
6	6	974
7	7	946
8	8	922
9	9	901
10	9	882
11	10	870
12	11	861
13	12	851
14	12	845
15	13	838
16	14	831
17	15	835
18	16	844
19	17	862
20	18	859
21	19	851
22	19	842
23	20	833
24	21	825
25	21	817
26	22	810
27	23	803
28	23	797
29	24	791
30	25	787
31	25	782
32	26	777
33	27	773
34	27	768
35	28	765
36	29	761
37	29	758
38	32	806
39	33	807
40	34	803
41	35	799
42	35	794
43	36	793
44	37	788
45	37	784
46	38	780
47	39	777
48	39	773
49	40	770
50	41	766
51	41	763
52	42	760
53	43	757
54	43	754
55	44	751
56	45	749
57	46	759
58	50	799
59	51	799
60	51	796
61	52	792
62	53	788
63	53	785
64	54	782
65	55	778
66	55	776
67	56	772
68	57	769
69	57	765
70	58	762
71	58	759
72	59	756
73	60	753
74	60	751
75	62	755
76	63	759
77	64	757
78	64	754
79	65	752
80	66	749
81	66	746
82	67	740
83	67	738
84	68	735
85	68	733
86	69	730
87	70	728
88	70	726
89	71	724
90	72	721
91	72	719
92	73	718
93	74	716
94	74	714
95	75	712
96	76	711
97	77	713
98	78	714
99	79	712
100	79	711
101	80	709
102	81	707
103	81	705
104	82	703
105	83	701
106	83	699
107	84	697
108	85	695
109	85	694
110	86	692
111	87	690
112	87	688
113	88	687
114	89	686
115	89	684
116	90	681
117	90	680
118	92	686
119	93	686
120	94	685
121	94	682
122	95	681
123	96	679
124	96	677
125	97	676
126	98	673
127	98	672
128	99	670
129	99	669
130	100	667
131	101	665
132	101	664
133	102	662
134	103	661
135	103	659
136	104	658
137	105	657
138	105	655
139	107	660
140	108	660
141	108	657
142	109	656
143	110	654
144	110	653
145	111	651
146	112	650
147	112	649
148	113	648
149	114	646
150	114	645
151	115	644
152	116	643
153	116	641
154	117	640
155	118	639
156	118	637
157	119	636
158	120	635
159	121	636
160	123	643
161	124	643
162	124	641
163	125	640
164	126	639
165	126	637
166	127	636
167	128	635
168	128	634
169	129	632
170	130	631
171	130	630
172	131	629
173	132	627
174	132	626
175	133	625
176	134	624
177	134	622
178	135	621
179	136	620
180	137	623
181	138	623
182	139	622
183	140	621
184	140	619
185	141	618
186	142	617
187	142	616
188	143	615
189	143	613
190	144	612
191	145	611
192	145	610
193	146	609
194	147	608
195	148	607
196	148	606
197	149	604
198	149	603
199	150	602
200	151	601
201	153	605
202	154	605
203	154	604
204	155	603
205	156	602
206	156	600
207	157	599
208	158	598
209	158	597
210	159	596
211	160	595
212	160	594
213	161	593
214	162	592
215	162	590
216	163	589
217	164	588
218	164	587
219	165	586
220	165	585
221	167	585
222	168	586
223	169	586
224	169	585
225	170	584
226	171	583
227	171	582
228	172	580
229	173	579
230	173	578
231	174	577
232	175	576
233	175	575
234	176	574
235	177	573
236	177	572
237	178	571
238	179	570
239	179	569
240	180	567
241	181	567
242	182	567
243	183	568
244	184	567
245	184	566
246	185	565
247	186	564
248	186	563
249	187	562
250	188	561
251	188	560
252	189	558
253	189	557
254	190	557
255	191	556
256	191	555
257	192	554
258	193	553
259	193	552
260	194	551
261	195	550
262	195	549
263	197	549
264	198	549
265	199	549
266	199	548
267	200	547
268	201	546
269	201	545
270	202	544
271	202	543
272	203	542
273	204	541
274	204	540
275	205	539
276	206	538
277	206	537
278	207	536
279	208	535
280	208	534
281	209	533
282	210	532
283	211	532
284	213	535
285	214	535
286	215	535
287	216	535
288	217	534
289	218	533
290	218	532
291	219	531
292	220	530
293	220	529
294	221	529
295	222	528
296	222	527
297	223	526
298	224	525
299	224	524
300	225	523
301	226	522
302	226	522
303	228	522
304	228	521
305	229	520
306	230	519
307	230	518
308	231	517
309	232	516
310	232	515
311	233	514
312	234	513
313	234	512
314	235	512
315	236	511
316	236	510
317	237	509
318	238	508
319	238	507
320	239	506
321	240	505
322	240	504
323	241	503
324	242	504
325	243	504
326	244	503
327	245	502
328	246	501
329	246	500
330	247	499
331	248	499
332	248	498
333	249	497
334	249	496
335	250	495
336	251	494
337	251	493
338	252	492
339	253	491
340	253	490
341	254	489
342	255	488
343	255	487
344	256	486
345	257	487
346	258	487
347	259	486
348	260	485
349	260	484
350	261	483
351	262	482
352	262	481
353	263	480
354	264	480
355	264	479
356	265	478
357	266	477
358	266	476
359	267	475
360	268	474
361	268	473
362	269	472
363	270	472
364	270	471
365	271	470
366	273	471
367	274	471
368	275	470
369	275	469
370	276	469
371	277	468
372	278	467
373	279	467
374	279	466
375	280	465
376	281	465
377	282	464
378	282	463
379	283	462
380	284	462
381	285	461
382	286	461
383	288	462
384	289	462
385	290	461
386	290	460
387	291	460
388	292	459
389	293	458
390	294	458
391	294	457
392	295	456
393	296	456
394	297	455
395	298	454
396	298	453
397	299	453
398	300	452
399	301	452
400	303	454
401	304	453
402	305	452
403	306	452
404	307	451
405	308	451
406	309	450
407	309	449
408	310	448
409	311	447
410	311	446
411	312	445
412	313	445
413	313	444
414	314	443
415	315	442
416	315	441
417	316	440
418	318	441
419	318	440
420	319	439
421	320	438
422	320	437
423	321	436
424	322	435
425	322	435
426	323	434
427	324	433
428	324	432
429	325	431
430	326	430
431	326	429
432	327	428
433	328	428
434	328	427
435	329	426
436	330	425
437	330	424
438	331	423
439	333	423
440	333	423
441	334	422
442	335	421
443	335	420
444	336	419
445	337	418
446	337	417
447	338	417
448	339	416
449	339	415
450	340	414
451	341	413
452	341	412
453	342	411
454	343	411
455	343	410
456	344	409
457	345	408
458	345	407
459	347	407
460	348	407
461	349	406
462	349	405
463	350	404
464	351	404
465	351	403
466	352	402
467	353	401
468	353	400
469	354	399
470	355	398
471	355	397
472	356	397
473	357	396
474	357	395
475	358	394
476	359	393
477	359	393
478	360	392
479	361	391
480	363	392
481	365	392
482	366	391
483	367	391
484	368	391
485	369	390
486	369	389
487	370	388
488	371	387
489	371	386
490	372	386
491	373	385
492	373	384
493	374	383
494	375	382
495	375	381
496	376	381
497	377	380
498	378	380
499	379	379
500	379	378
501	380	377
502	381	376
503	382	375
504	382	375
505	383	374
506	383	373
507	384	372
508	385	371
509	385	370
510	386	369
511	387	369
512	388	368
513	388	367
514	389	366
515	389	365
516	390	364
517	391	364
518	393	364
519	394	363
520	395	363
